ID Cliente;Nome Cliente;Segmento;Cidade;Estado;Pais;Mercado;Regiao
RH-19495;Rick Hansen;Consumidor;New York City;New York;United States;US;East
JR-16210;Justin Ritter;Corporativo;Wollongong;New South Wales;Australia;APAC;Oceania
CR-12730;Craig Reiter;Consumidor;Brisbane;Queensland;Australia;APAC;Oceania
KM-16375;Katherine Murray;Outros;Berlin;Berlin;Germany;EU;Central
RH-9495;Rick Hansen;Consumidor;Dakar;Dakar;Senegal;Africa;Africa
JM-15655;Jim Mitchum;Corporativo;Sydney;New South Wales;Australia;APAC;Oceania
TS-21340;Toby Swindell;Consumidor;Porirua;Wellington;New Zealand;APAC;Oceania
MB-18085;Mick Brown;Consumidor;Hamilton;Waikato;New Zealand;APAC;Oceania
JW-15220;Jane Waco;Corporativo;Sacramento;California;United States;US;West
JH-15985;Joseph Holt;Consumidor;Concord;North Carolina;United States;US;South
GM-14695;Greg Maxwell;Corporativo;Alexandria;Virginia;United States;US;South
AJ-10780;Anthony Jacobs;Corporativo;Kabul;Kabul;Afghanistan;APAC;Central Asia
MM-7260;Magdelene Morse;Consumidor;Jizan;Jizan;Saudi Arabia;EMEA;EMEA
VF-21715;Vicky Freymann;Outros;Toledo;Parana;Brazil;LATAM;South
PF-19120;Peter Fuller;Consumidor;Mudanjiang;Heilongjiang;China;APAC;North Asia
BP-11185;Ben Peterman;Corporativo;Paris;Ile-de-France;France;EU;Central
TB-21175;Thomas Boland;Corporativo;Henderson;Kentucky;United States;US;South
PJ-18835;Patrick Jones;Corporativo;Prato;Tuscany;Italy;EU;South
JS-15685;Jim Sink;Corporativo;Townsville;Queensland;Australia;APAC;Oceania
RH-9555;Ritsa Hightower;Consumidor;Uvinza;Kigoma;Tanzania;Africa;Africa
AB-600;Ann Blume;Corporativo;Bytom;Silesia;Poland;EMEA;EMEA
SA-20830;Sue Ann Reed;Consumidor;Chicago;Illinois;United States;US;Central
JK-15325;Jason Klamczynski;Corporativo;Suzhou;Anhui;China;APAC;North Asia
LB-16795;Laurel Beltran;Outros;Edinburgh;Scotland;United Kingdom;EU;North
NP-18325;Naresj Patel;Consumidor;Juárez;Chihuahua;Mexico;LATAM;North
